Integration Report
"No.","Type","Compound","Main Ion
 [M/Z]","R.Time
 [min.]","Expect.
 [min.]","St.Time
 [min.]","End Time
 [min.]","Height
","Area
 [a.u.*s]","QVal
","Flags"
1,"","Benzaldehyde, 4-hydroxy-3,5-dimethoxy-",182.100006103516,0,29.8858500162766,0,0,0,0,0," "
2,"","Bicyclo[3.1.1]heptan-2-one, 6,6-dimethyl-",83,15.4980000813805,15.4909332275394,15.4344828287763,15.5967834472659,1218.27868652344,3611.59179999998,97.6171417236328," "
3,"","10,18-Bisnorabieta-8,11,13-triene",227.199996948242,0,38.3253987630216,0,0,0,0,0," "
4,"","20 (DCSE)",149,0,28.2417175292974,0,0,0,0,0,"D"
5,"","21 (DCSE)",178.100006103516,0,31.6428833007819,0,0,0,0,0," "
6,"","19 (DCSE)",243.199996948242,0,36.7022664388028,0,0,0,0,0," "
7,"","22 (DCSE)",74,0,4.32778320312509,0,0,0,0,0," "
8,"","16 (DCSE)",69.0999984741211,19.6965332031254,19.6895324707035,19.640083821615,19.7616251627608,572.103454589844,2267.80405575661,97.0585708618164,"QM"
9,"","17 (DCSE)",190.199996948242,0,35.587532552084,0,0,0,0,0," "
10,"","7 (DCSE)",190.199996948242,34.9171346028653,35.926232910157,19.6471496582035,19.7529825846358,1402.10205078125,593.08915815161,88.237548828125,"QM"
11,"","15 (DCSE)",133,8.38516642252621,8.38523356119808,8.31461690266944,8.53334960937517,51382.1875,152705.239399999,98.7716903686523," "
12,"","12 (DCSE)",45,4.89226684570322,4.96289978027354,4.8358164469402,5.10396677653005,7124.3701171875,36709.8585,96.357795715332," "
13,"","13 (DCSE)",151,15.6461832682295,15.5756835937503,15.625016276042,15.7026336669925,599,1372.79500000003,97.8246459960938," "
14,"","14 (DCSE)",177.100006103516,0,25.4193339029953,0,0,0,0,0," "
15,"","10 (DCSE)",43,3.9819999694825,3.9819999694825,3.9549118041993,4.04605407714852,15651.8330078125,24560.9039954617,99.2568588256836,"M"
16,"","1 (DCSE)",43,8.15936686197933,8.15936686197933,8.06058349609391,8.27226664225277,4759.431640625,22321.0082491302,98.9924163818359," "
17,"","2 (DCSE)",193,9.82466634114603,9.82466634114603,9.76116638183613,9.93051656087259,11606,45589.2969999995,99.8068237304688," "
18,"","3 (DCSE)",86.0999984741211,10.0010833740236,9.98696695963562,9.95875040690124,10.1422170003257,2073.94213867188,8450.82520000008,94.5019836425781," "
19,"","4 (DCSE)",59.0999984741211,11.6663828531903,11.6593332926435,11.6170003255211,11.7299001057945,2467,7658.95600000012,97.012939453125," "
20,"","5 (DCSE)",267,14.7429667154951,14.6371164957685,14.6794504801435,14.8558664957685,34359.9609375,108329.785287955,99.5550994873047," "
21,"","6 (DCSE)",83,19.4425170898441,19.449566650391,19.4001668294275,19.5201334635421,1613,5006.46350000004,96.6435165405273,"Q"
22,"","9 (DCSE)",43,23.5634338378911,23.5634338378911,23.4999165852869,23.6340006510421,1142.28381347656,4087.81319999993,94.374153137207,"Q"
23,"","18 (DCSE)",135.100006103516,28.488783772787,28.488783772787,28.4252665201829,28.5875671386724,6783,25047.1644999996,99.6182022094727," "
24,"","11 (DCSE)",179.100006103516,34.366731770834,34.366731770834,34.3032348632819,34.4373006184903,4471,15584.2409999997,99.1844253540039," "
25,"","Formamide, N,N-dibutyl-",72.0999984741211,20.4797993977869,20.4797993977869,20.4233500162764,20.6350341796879,6206.11962890625,22402.2058999997,99.0965042114258," "
26,"","2-Methyl-1-undecanol",57.0999984741211,0,21.2629333496098,0,0,0,0,0,"D"
27,"","Phenol, 2,6-dimethoxy-4-(2-propenyl)-",194.100006103516,0,30.7961161295579,0,0,0,0,0," "
28,"","Phenol, 2-methoxy-4-(1-propenyl)-",164.100006103516,0,24.5441670735682,0,0,0,0,0," "
29,"","trans-?-Bergamotene",119.099998474121,24.1843831380213,24.2054667154953,24.1420491536463,24.2408325195317,451,1288.31199999998,96.5659713745117," "
30,"","29.22 Tridecanal",57.0999984741211,26.0261006673182,26.0261006673182,25.9837666829432,26.0755004882818,440.530151367188,1242.49011403148,90.7573394775391,"QM"
31,"","5,9-Undecadien-2-one, 6,10-dimethyl-, (E)-",43,24.5513163248703,24.558384195964,24.5089823404953,24.6148335774745,1492,4340.06950000011,98.3660202026367," "
