Integration Report
"No.","Type","Compound","Main Ion
 [M/Z]","R.Time
 [min.]","Expect.
 [min.]","St.Time
 [min.]","End Time
 [min.]","Height
","Area
 [a.u.*s]","QVal
","Flags"
137,"","Furfural",96,6.50118357340508,6.35686492919935,6.43061676025403,6.74110005696628,2796.49877929688,22650.0859,99.0534973144531," "
138,"","Dimethyl Sulfoxide",63,0,6.36122131347669,0,0,0,0,0," "
139,"","18",57.0999984741211,0,6.42983245849622,0,0,0,0,0,"D"
140,"","1H-Pyrrole, 2-methyl-",80,0,6.55180714925143,0,0,0,0,0," "
141,"","2,4-Dimethyl-1-heptene",70.0999984741211,0,6.57576649983737,0,0,0,0,0," "
142,"","Isovaleric acid",60,0,6.60408223470065,0,0,0,0,0," "
143,"","1-Hexen-3-yne, 2,5,5-trimethyl-",107.099998474121,0,6.63130849202487,0,0,0,0,0," "
144,"T","Cyclohexane, 1,2,4-trimethyl-",55,0,6.63457590738946,0,0,0,0,0," "
145,"","Benzene, chloro-",111.900001525879,0,6.6639806111655,0,0,0,0,0," "
146,"","2-Hexenal, (E)-",83.0999984741211,6.90340016682956,6.83387400309258,6.85399983723972,6.96690012613946,743,2528.86600000001,95.40478515625,"Q"
147,"","Butanoic acid<2-methyl->",74,0,6.8502100626629,0,0,0,0,0," "
148,"","2-Furanmethanol",98,7.22093353271499,6.93733520507826,7.18565012613947,7.29235738118504,984.63427734375,2736.74193227159,98.5028762817383,"M"
149,"","3-Hexen-1-ol, (Z)-",67,0,6.96891784667983,0,0,0,0,0," "
150,"","73",43.0999984741211,0,6.97654113769545,0,0,0,0,0,"D"
151,"T","Butyl aldoxime, 3-methyl-, syn-",59,0,7.03752899169936,0,0,0,0,0," "
152,"","10",109.099998474121,0,7.04515228271498,0,0,0,0,0," "
153,"","Ethylbenzene",91.0999984741211,0,7.06039886474623,0,0,0,0,0," "
154,"T","Hexenol<2E->",57,0,7.16386006673191,0,0,0,0,0," "
155,"T","Butyl aldoxime, 2-methyl-, syn-",73,0,7.16386006673191,0,0,0,0,0," "
156,"T","Octane, 4-methyl-",85,0,7.18999735514337,0,0,0,0,0," "
157,"","146",43,0,7.25098470052098,0,0,0,0,0," "
158,"","p-Xylene",91,7.28443349202488,7.2836568196616,7.25621643066421,7.37616678873713,836,3681.295,97.2411041259766," "
159,"","2(3H)-Furanone, 5-methyl-",55,0,7.29128011067723,0,0,0,0,0," "
160,"","1-Hexanol",56.0999984741211,0,7.29128011067723,0,0,0,0,0," "
161,"","74",43.0999984741211,0,7.30761617024754,0,0,0,0,0," "
162,"T","Hexenol<2Z->",57,0,7.41652221679702,0,0,0,0,0," "
163,"T","Isopentyl acetate",70,0,7.44048156738296,0,0,0,0,0," "
164,"T","Butyl aldoxime, 2-methyl-, anti-",43,0,7.44048156738296,0,0,0,0,0," "
165,"T","Cyclopentanone, 2-methyl-",55,0,7.54612070719416,0,0,0,0,0,"D"
166,"T","Heptanol<4->",55,0,7.57661437988296,0,0,0,0,0,"M"
167,"T","Butyl aldoxime, 3-methyl-, anti",59,0,7.64304707845067,0,0,0,0,0," "
168,"","2-Cyclopentene-1,4-dione",96,0,7.68878784179703,0,0,0,0,0," "
169,"","Pentanoic acid",60.0999984741211,0,7.72037048339859,0,0,0,0,0," "
170,"","3-Heptanone",57.0999984741211,7.76426645914729,7.77264556884781,7.70076649983739,7.83483327229833,1209.63647460938,3874.23369880163,98.275016784668,"M"
171,"T","Pentane, 1-nitro-",43,7.87011667887386,7.77373453776057,7.79954986572281,7.94472351074235,1560.14038085938,4798.45531729907,98.0181884765625,"M"
172,"","Styrene",104.099998474121,7.91245015462255,7.8673940022788,7.82778320312516,7.99008331298844,1446,6567.52399999999,96.841194152832," "
173,"","Heptanone<2->",58,7.87011667887386,7.8673940022788,7.79954986572281,7.9406834920249,958.400024414063,3566.2449,97.4421997070313," "
174,"","Cyclohexanone",98.0999984741211,0,7.91531270345068,0,0,0,0,0," "
175,"","o-Xylene",91.0999984741211,0,7.93055928548193,0,0,0,0,0," "
176,"","28",99,0,8.04273274739599,0,0,0,0,0," "
177,"","2-Propenoic acid, butyl ester",55,7.86306660970068,8.06521606445329,7.81366678873714,7.92656656901057,442.61181640625,1169.88935078113,97.2256164550781,"M"
178,"","Heptenal<4Z->",68,0,8.11859385172542,0,0,0,0,0," "
179,"","Heptanal",70.0999984741211,8.17354990641292,8.16876881917334,8.09591674804704,8.23704986572282,1357,6177.8395,94.6225204467773,"Q"
180,"","62",96.0999984741211,8.15236663818376,8.31609090169287,8.09591674804704,8.20883331298844,378.397979736328,1211.2112,96.098876953125,"Q"
181,"","141",68,8.38523356119808,8.40683288574236,8.30761667887386,8.45343221028663,4172,13492.7765,97.1132431030273,"M"
182,"","Butyl propanoate",57.0999984741211,0,8.41537322998064,0,0,0,0,0,"D"
183,"","Butyrolactone",42.0999984741211,8.70983378092465,8.44846750895199,8.68159993489601,8.76811319986997,1172.26892089844,1648.07731859458,99.6128158569336,"M"
184,"","2-Acetylfuran",95,0,8.45273793538428,0,0,0,0,0," "
185,"","2(5H)-Furanone",55,8.83684997558611,8.5029129028322,8.76628316243507,8.95073954264341,492.525634765625,2841.89558705571,99.512451171875,"M"
186,"","Amyl acetate",70.1999969482422,0,8.56696573893246,0,0,0,0,0," "
187,"","2-Cyclohexen-1-ol",70,0,8.60112711588559,0,0,0,0,0," "
188,"T","2-Cyclopenten-1-one, 2-hydroxy-",98,0,8.73030192057309,0,0,0,0,0,"D"
189,"T","2,5-Hexanedione",99,0,8.75912577311215,0,0,0,0,0," "
190,"","1,2-Cyclopentanedione",98.0999984741211,9.00620015462258,8.80289510091163,8.95680033365903,9.17555033365904,2227.11401367188,12427.0445,93.9479904174805,"Q"
191,"","Cumene",105,0,8.84452921549497,0,0,0,0,0," "
192,"","Hexanoic acid, methyl ester",74,0,8.8669484456382,0,0,0,0,0," "
193,"","156",132.899993896484,0,8.89363708496112,0,0,0,0,0," "
194,"T","Cyclohexane, propyl-",83,0,8.93740641276059,0,0,0,0,0," "
195,"","30",58.0999984741211,0,9.00039265950539,0,0,0,0,0," "
196,"T","Pinene<alpha->",93,0,9.02601318359393,0,0,0,0,0," "
197,"","Formamide, N,N-diethyl-",101.099998474121,9.33784993489602,9.18614705403664,9.281399536133,9.4084004720054,2889,8331.85150000012,98.330451965332," "
198,"","2-Heptanone, 4-methyl-",58.0999984741211,0,9.25767313639341,0,0,0,0,0," "
199,"T","Camphene",93,0,9.47225036621113,0,0,0,0,0," "
200,"","gamma-Valerolactone",56.0999984741211,0,9.68042399088561,0,0,0,0,0,"D"
201,"","2-Heptanone, 6-methyl-",58.0999984741211,0,9.74874674479186,0,0,0,0,0," "
202,"T","Heptan-2-ol<6-methyl-",97,0,9.82881368001322,0,0,0,0,0," "
203,"","Benzaldehyde",106,9.93763326009134,9.88539428710957,9.89530029296895,10.0331064860028,1898.20080566406,8252.43734939114,98.2279281616211,"M"
204,"","Benzene, 1-ethyl-4-methyl-",105.099998474121,0,9.93877156575541,0,0,0,0,0," "
205,"","Benzene, 1-ethyl-3-methyl-",105.099998474121,0,9.97613627115905,0,0,0,0,0," "
206,"","5-methylfurfural",110,0,9.99535217285176,0,0,0,0,0," "
207,"","82",96,0,10.0145680745445,0,0,0,0,0," "
208,"","Glycerin",61,0,10.1202555338544,0,0,0,0,0," "
209,"","Benzene, 1,3,5-trimethyl-",105,0,10.1512145996096,0,0,0,0,0," "
210,"T","2H-Pyran, 2-ethenyltetrahydro-2,6,6-trimethyl-",71,0,10.1554850260419,0,0,0,0,0,"D"
211,"","Dimethyl trisulfide",125.900001525879,0,10.1629577636721,0,0,0,0,0," "
212,"T","beta-Pinene",93,0,10.2152679443361,0,0,0,0,0," "
213,"","Heptanol<N->",70,0,10.2504974365236,0,0,0,0,0," "
214,"T","Benzene, 1-ethyl-2-methyl-",105,0,10.3038747151695,0,0,0,0,0," "
215,"","1-Hexene, 3,5-dimethyl-",57,0,10.3561848958335,0,0,0,0,0," "
216,"T","Octen-3-one<1->",55,0,10.3636576334637,0,0,0,0,0,"D"
217,"","3-Methyl-2(5H)-furanone  ",41.0999984741211,0,10.4437235514325,0,0,0,0,0,"D"
218,"T","2,3-Octanedione",99,0,10.4522644042971,0,0,0,0,0," "
219,"","Heptanol<2,6-dimethyl-2->",59.0999984741211,0,10.4971018473309,0,0,0,0,0," "
220,"","Octen-3-ol<1->",57,0,10.534465535482,0,0,0,0,0," "
221,"","Hexanoic acid",60.0999984741211,0,10.6027893066408,0,0,0,0,0," "
222,"","101",103,0,10.633748372396,0,0,0,0,0," "
223,"","57",191,0,10.6444244384768,0,0,0,0,0,"D"
224,"","Phenol",94,10.7491170247398,10.6903289794924,10.6793711344403,10.9878641764325,510.786743164063,4747.97578528514,96.83642578125,"M"
225,"T","2-Propenoic acid, 2-methyl-, butyl ester",69,0,10.6903289794924,0,0,0,0,0,"D"
226,"","Octanone<3->",72,0,10.7170176188153,0,0,0,0,0," "
227,"T","Cineole<dehydro-1,8->",109,0,10.7191528320315,0,0,0,0,0," "
228,"","Hepten-2-one<6-methyl-5->",108.099998474121,10.7067830403648,10.7276926676434,10.6503336588544,10.7914499918622,1355,4639.068,95.9418182373047,"Q"
229,"","2-Hydroxy-gamma-butyrolactone",57.0999984741211,0,10.754382324219,0,0,0,0,0," "
230,"","37",69,0,10.7629221598309,0,0,0,0,0,"D"
231,"","2-Heptanone, 4,6-dimethyl-",58.0999984741211,0,10.8419209798179,0,0,0,0,0," "
232,"","2-Octanone",58.0999984741211,0,10.8493937174481,0,0,0,0,0," "
233,"","Myrcene",93.0999984741211,0,10.8643402099612,0,0,0,0,0," "
234,"","24",93,0,10.8803527832033,0,0,0,0,0," "
235,"","Pentyl furan<2->",81,10.8338002522789,10.8846232096356,10.7985168457033,10.8902496337893,1053,3034.76699999995,95.6250839233398," "
236,"","Linalool oxide<dehydroxy-trans->",67.0999984741211,10.7067830403648,10.9070424397789,10.6926666259768,10.7491170247398,603,851.471999999984,95.2921600341797,"Q"
237,"","1,2,4-Trimethylbenzene",105.099998474121,11.0525502522789,10.9145151774091,10.9960998535158,11.1160502115888,1565,4905.62549999997,97.5856323242188,"Q"
238,"","43",66.8000030517578,0,11.0212839762372,0,0,0,0,0," "
239,"","Butyl butanoate",71.0999984741211,0,11.0212839762372,0,0,0,0,0," "
240,"","152",114,0,11.0277109781903,0,0,0,0,0," "
241,"","83",81,0,11.0362792968752,0,0,0,0,0," "
242,"","112",112,0,11.0630564371747,0,0,0,0,0," "
243,"","32",99.0999984741211,0,11.1262502034507,0,0,0,0,0," "
244,"T","Hexenyl acetate<3Z->",67,11.2995168050132,11.142316691081,11.2501169840497,11.3771331787112,1253.5,3814.12174999996,96.045654296875," "
245,"T","Phellandrene<alpha->",93,0,11.142316691081,0,0,0,0,0," "
246,"","Octanal",56.0999984741211,11.1724995930992,11.1862314860028,11.1160502115888,11.2453969319664,2751.21606445313,8583.23539068593,92.8655853271484,"QM"
247,"T","Linalool oxide<dehydroxy-cis->",67,0,11.2044403076174,0,0,0,0,0," "
248,"T","Carene<delta-3->",93,0,11.3286855061851,0,0,0,0,0," "
249,"","121",128,0,11.4272257486981,0,0,0,0,0," "
250,"","trans-2-trans-4-Heptadienal",81,0,11.4454345703127,0,0,0,0,0," "
251,"T","Hexyl acetate",56,0,11.5161254882815,0,0,0,0,0," "
252,"T","Terpinene<alpha->",93,0,11.5439737955731,0,0,0,0,0," "
253,"T","Benzyl chloride",91,11.5323832194013,11.5471872965497,11.5041503906252,11.5747161865237,839,1815.57349999997,97.9032440185547," "
254,"","38",85.0999984741211,0,11.5546844482424,0,0,0,0,0,"D"
255,"T","Hexenyl acetate<2E->",43,11.1795501708987,11.5782491048179,11.1230997721356,11.2430664062502,3113.31372070313,8688.87627323617,92.9269638061523,"QM"
256,"","75",81.0999984741211,0,11.6103810628258,0,0,0,0,0," "
257,"","4-Cyanocyclohexene",54.0999984741211,11.6523335774742,11.6639353434247,11.6099995930992,11.7299499511721,612,1988.15150000001,97.2425384521484,"Q"
258,"","52",70.0999984741211,0,11.6682200113935,0,0,0,0,0," "
259,"","39",85,0,11.6971394856773,0,0,0,0,0," "
260,"","102",111.099998474121,0,11.7346272786461,0,0,0,0,0," "
261,"T","Cymene<para->",119,0,11.7656880696617,0,0,0,0,0," "
262,"","1,2,3-Trimethylbenzene",105.099998474121,0,11.806389363607,0,0,0,0,0," "
263,"","64",93.0999984741211,11.9769337972008,11.806389363607,11.9345835367841,12.0333831787112,822,2468.324,95.59130859375," "
264,"T","Benzenemethanamine, N,N-dimethyl-",58,0,11.9220672607424,0,0,0,0,0," "
265,"T","Indane",117,0,12.0152516682945,0,0,0,0,0," "
266,"","Limonene",93.0999984741211,11.9769337972008,12.0323883056643,11.9275329589846,12.035334269206,819.395812988281,2793.1815447138,91.6142807006836,"QM"
267,"","1-Hexanol, 2-ethyl-",57.0999984741211,11.9698669433596,12.0698771158857,11.9063669840497,12.0898335774742,3951.3515625,14777.9699999999,94.917106628418,"Q"
268,"","Eucalyptol",108.099998474121,0,12.1073649088544,0,0,0,0,0," "
269,"","Cyclohexanone, 2,2,6-trimethyl-",82.0999984741211,0,12.1941223144534,0,0,0,0,0," "
270,"","Benzyl Alcohol",79,0,12.1941223144534,0,0,0,0,0,"D"
271,"T","Ocimene<(Z)-beta->",93,0,12.2016204833987,0,0,0,0,0," "
272,"","2(5H)-Furanone, 5-ethyl-",83,0,12.245534261068,0,0,0,0,0," "
273,"","173",43,0,12.3215820312502,0,0,0,0,0," "
274,"","2-Pyrrolidinone, 1-methyl-",99.0999984741211,0,12.329079182943,0,0,0,0,0," "
275,"","Cyclohexanone, 3,3,5-trimethyl-",83,0,12.3333638509117,0,0,0,0,0," "
276,"","Ocimene<(E)-beta->",93,0,12.344074503581,0,0,0,0,0," "
277,"T","Lavender Lactone",111,0,12.3579986572268,0,0,0,0,0," "
278,"","147",113,0,12.3622833251956,0,0,0,0,0," "
279,"","Salicylaldehyde",121.900001525879,0,12.4597513834638,0,0,0,0,0," "
280,"","Benzeneacetaldehyde",91.0999984741211,0,12.4822448730471,0,0,0,0,0," "
281,"","58",69.0999984741211,0,12.490813191732,0,0,0,0,0," "
282,"","Indene",115,0,12.5047373453779,0,0,0,0,0," "
283,"","84",43.0999984741211,0,12.5165191650393,0,0,0,0,0,"D"
284,"","1H-Pyrrole-2-carboxaldehyde, 1-ethyl-",123.099998474121,0,12.6632578531904,0,0,0,0,0," "
285,"T","Bergamal",82,0,12.6696848551435,0,0,0,0,0," "
286,"","Hexalactone<gamma->",85,0,12.7907165527346,0,0,0,0,0," "
287,"","89",84.1999969482422,0,12.7982147216799,0,0,0,0,0," "
288,"","65",58,0,12.843200683594,0,0,0,0,0," "
289,"T","Terpinene<gamma->",93,0,12.8881856282555,0,0,0,0,0," "
290,"","9",59.0999984741211,0,12.9149627685549,0,0,0,0,0," "
291,"T","Decane, 4-methyl-",71,0,12.9203186035159,0,0,0,0,0," "
292,"","40",93.0999984741211,0,12.9824412027997,0,0,0,0,0," "
293,"","17",82.0999984741211,0,12.9942230224612,0,0,0,0,0," "
294,"","Acetylpyrrole<2->",94,0,13.0167154947919,0,0,0,0,0," "
295,"T","Benzene, 2-ethyl-1,4-dimethyl-",119,0,13.0338531494143,0,0,0,0,0," "
296,"T","Decane, 2-methyl-",57,0,13.0434926350914,0,0,0,0,0," "
297,"","103",107,0,13.124895222982,0,0,0,0,0," "
298,"","Pentanedinitrile",54,0,13.1709523518883,0,0,0,0,0," "
299,"","Acetophenone",105,13.2118001302086,13.1816630045576,13.1553334554039,13.2796101888023,3362.11474609375,12419.4904291161,99.1237869262695,"M"
300,"","59",97,0,13.1848765055341,0,0,0,0,0," "
301,"","Benzaldehyde, 2-methyl-",118.900001525879,0,13.1891611735029,0,0,0,0,0," "
302,"T","Decane, 3-methyl-",57,0,13.2309326171878,0,0,0,0,0," "
303,"","60",56.0999984741211,13.225900268555,13.282345581055,13.1906168619794,13.296467081706,695,2339.36000000005,98.5661849975586," "
304,"","53",152.100006103516,0,13.2866292317711,0,0,0,0,0," "
305,"","2-Octen-1-ol, (E)-",57,13.240016682943,13.2866292317711,13.1906168619794,13.2823496500654,1110.0703125,3035.45038696682,95.3197937011719,"QM"
306,"","3,5-Octadien-2-one, (E,E)-",95.0999984741211,0,13.3551788330081,0,0,0,0,0," "
307,"","1-Octanol",56.0999984741211,13.324699910482,13.3701741536461,13.2658996582034,13.3390614827477,373.736846923828,1195.72087029922,97.6552734375,"M"
308,"","Benzenamine, 3-methyl-",106.099998474121,0,13.3840983072919,0,0,0,0,0," "
309,"","123",79,0,13.3926666259768,0,0,0,0,0," "
310,"","76",59.0999984741211,0,13.4151601155602,0,0,0,0,0," "
311,"","cis-Linalool oxide (furanoid)",59,0,13.429084269206,0,0,0,0,0," "
312,"","Cresol<para->",107.099998474121,0,13.5768931070966,0,0,0,0,0," "
313,"","Heptanoic acid",60,0,13.5801066080732,0,0,0,0,0," "
314,"","67",96,0,13.647585042318,0,0,0,0,0," "
315,"","Benzaldehyde, 4-methyl-",119.099998474121,0,13.6518697102867,0,0,0,0,0," "
316,"","61",57.0999984741211,0,13.6636515299482,0,0,0,0,0," "
317,"T","Cymenene<para->",117,0,13.7932525634768,0,0,0,0,0," "
318,"","Benzenemethanol, ?,?-dimethyl-",121,13.8045328776044,13.8168162027998,13.7551330566409,13.8680328369143,5343,16887.8639999999,98.4807510375977," "
319,"T","Terpinolene",93,0,13.8243143717451,0,0,0,0,0," "
320,"","104",87.0999984741211,0,13.8435933430992,0,0,0,0,0," "
321,"","90",71.0999984741211,0,13.911071777344,0,0,0,0,0,"D"
322,"","44",93,0,13.9185699462893,0,0,0,0,0," "
323,"","trans-Linalool oxide (furanoid)",59.0999984741211,0,13.9292805989586,0,0,0,0,0," "
324,"","Phenol, 2-methoxy-",109,0,13.9292805989586,0,0,0,0,0," "
325,"","168",44.0999984741211,14.0867828369143,13.9635548909508,14.0162170410159,14.1926330566409,2451.43994140625,11918.9348,97.108757019043,"Q"
326,"","68",135.100006103516,0,14.0010437011722,0,0,0,0,0," "
327,"T","Fenchone",81,0,14.0106831868492,0,0,0,0,0," "
328,"","2-Nonanone",58.0999984741211,0,14.0235361735029,0,0,0,0,0," "
329,"","91",95,0,14.0460286458336,0,0,0,0,0," "
330,"","Methyl benzoate",105,0,14.1135070800784,0,0,0,0,0," "
331,"","113",43.0999984741211,0,14.1584238688154,0,0,0,0,0," "
332,"","77",79.0999984741211,0,14.2523925781253,0,0,0,0,0," "
333,"","Linalool",93.0999984741211,0,14.2972422281904,0,0,0,0,0," "
334,"","85",71,0,14.3388865152998,0,0,0,0,0," "
335,"","Nonanal<N->",57.0999984741211,14.3408162434899,14.402956136068,14.263199869792,14.4325500488284,16028.498046875,48893.7820654334,99.0675201416016," "
336,"","Hotrienol",71.0999984741211,0,14.421110026042,0,0,0,0,0," "
337,"","148",111,0,14.4841115315758,0,0,0,0,0," "
338,"","105",71.0999984741211,0,14.5289601643883,0,0,0,0,0," "
339,"","Maltol",126,0,14.5780802408857,0,0,0,0,0,"D"
340,"T","Fenchol<endo->",81,0,14.6207926432295,0,0,0,0,0," "
341,"T","Benzene, 1,2,3,5-tetramethyl-",119,0,14.6207926432295,0,0,0,0,0," "
342,"","Levoglucosenone",68,14.6724670410159,14.6261322021487,14.6230662027998,14.7853668212894,1534.65698242188,4659.51740000009,97.8605270385742," "
343,"","Phenylethyl Alcohol",91.0999984741211,0,14.6677775065107,0,0,0,0,0," "
344,"","114",122.099998474121,0,14.6752522786461,0,0,0,0,0," "
345,"","106",81,0,14.7318471272789,0,0,0,0,0," "
346,"","alpha-cyclocitral",81.0999984741211,0,14.8097981770836,0,0,0,0,0," "
