Integration Report
"No.","Type","Compound","Main Ion
 [M/Z]","R.Time
 [min.]","Expect.
 [min.]","St.Time
 [min.]","End Time
 [min.]","Height
","Area
 [a.u.*s]","QVal
","Flags"
1,"","Benzaldehyde, 4-hydroxy-3,5-dimethoxy-",182.100006103516,0,29.8858500162766,0,0,0,0,0," "
2,"","Bicyclo[3.1.1]heptan-2-one, 6,6-dimethyl-",83,15.4204498291019,15.4909332275394,15.3640004475915,15.4980662027998,1134.48425292969,3017.73180000005,97.9494781494141," "
3,"","10,18-Bisnorabieta-8,11,13-triene",227.199996948242,38.3113159179695,38.3253987630216,38.2831013997403,38.3748331705737,996,3084.3125000001,98.3519287109375," "
4,"","20 (DCSE)",149,0,28.2417175292974,0,0,0,0,0," "
5,"","21 (DCSE)",178.100006103516,0,31.6428833007819,0,0,0,0,0," "
6,"","19 (DCSE)",243.199996948242,36.7165852864591,36.7022664388028,36.6601318359382,36.7730346679695,2381,7440.26800000003,99.0931854248047," "
7,"","22 (DCSE)",74,0,4.32778320312509,0,0,0,0,0," "
8,"","16 (DCSE)",69.0999984741211,19.5978169759119,19.6895324707035,19.5343159993493,19.6683837890629,369.583068847656,1446.33268773814,93.6659622192383,"Q"
9,"","17 (DCSE)",190.199996948242,35.5663818359382,35.587532552084,35.5028849283861,35.6298990885424,1120,3415.28449999996,98.2243728637695," "
10,"","7 (DCSE)",190.199996948242,0,35.926232910157,0,0,0,0,0,"D"
11,"","15 (DCSE)",133,8.38524983723975,8.38523356119808,8.30056660970069,8.62516682942726,61948.63671875,199944.392099999,98.7909774780273," "
12,"","12 (DCSE)",45,4.96289978027354,4.96289978027354,4.94173329671234,5.16755015055349,7599,21856.9035,96.225471496582," "
13,"","13 (DCSE)",151,15.5756835937503,15.5756835937503,15.5192331949873,15.6674163818363,1573,5588.60449999996,98.1567993164063," "
14,"","14 (DCSE)",177.100006103516,25.4334493001307,25.4193339029953,25.3769836425786,25.4757832845057,2655,7028.47899999987,96.7104263305664," "
15,"","10 (DCSE)",43,4.07379989624032,3.9819999694825,4.01029993693042,4.16553344726571,31399.5,48350.4542500003,99.2555313110352," "
16,"","1 (DCSE)",43,8.1382664998374,8.15936686197933,8.04654998779313,8.21590016682959,3056.85595703125,14627.2351204529,97.8342666625977," "
17,"","2 (DCSE)",193,9.78241678873717,9.82466634114603,9.71889953613301,9.84591674804707,8583,28974.0630000005,99.6856384277344," "
18,"","3 (DCSE)",86.0999984741211,0,9.98696695963562,0,0,0,0,0,"D"
19,"","4 (DCSE)",59.0999984741211,11.6382334391278,11.6593332926435,11.5888336181643,11.6735168457034,1147,2561.92149999996,95.1822509765625,"Q"
20,"","5 (DCSE)",267,14.6654164632164,14.6371164957685,14.6019165039065,14.757150268555,18282,56404.7745000009,99.2531204223633,"M"
21,"","6 (DCSE)",83,0,19.449566650391,0,0,0,0,0," "
22,"","9 (DCSE)",43,0,23.5634338378911,0,0,0,0,0,"D"
23,"","18 (DCSE)",135.100006103516,28.4182840983079,28.488783772787,28.368900553386,28.4888509114589,1963,6532.52749999998,99.1745300292969," "
24,"","11 (DCSE)",179.100006103516,0,34.366731770834,0,0,0,0,0," "
25,"","Formamide, N,N-dibutyl-",72.0999984741211,20.3740173339848,20.4797993977869,20.3105163574223,20.5363159179692,3749.26977539063,15722.4233999998,98.4069976806641," "
26,"","2-Methyl-1-undecanol",57.0999984741211,0,21.2629333496098,0,0,0,0,0,"D"
27,"","Phenol, 2,6-dimethoxy-4-(2-propenyl)-",194.100006103516,0,30.7961161295579,0,0,0,0,0," "
28,"","Phenol, 2-methoxy-4-(1-propenyl)-",164.100006103516,0,24.5441670735682,0,0,0,0,0," "
29,"","trans-?-Bergamotene",119.099998474121,0,24.2054667154953,0,0,0,0,0," "
30,"","29.22 Tridecanal",57.0999984741211,25.9414998372401,26.0261006673182,25.9031290690109,25.9767842610682,370.239196777344,1139.44642757842,92.8533935546875,"QM"
31,"","5,9-Undecadien-2-one, 6,10-dimethyl-, (E)-",43,24.4455505371099,24.558384195964,24.4032165527349,24.5231669108078,2237,6792.49400000025,98.5713882446289," "
